BV_NUM,STATE,ZIP,OBAL,ORATE,PBAL,RATE,P_I,ACLAS,PURP,PROP_MM,,SECTION2,NOTE_DT,ODATE,FPDATE,MDATE,PDATE,NPDATE,ASOFDT,BV_NUM,OCCLAS,FICO,FICO_DT,OAPPR,OSLSPRI,OLTV,CLTV,BPOUSED,BPO,MONTHDEL,TDEL30,TDEL60,TDEL90,PAYHIST,LOAN_TY,MIFLAG,MI_PERCT,,,MIGROUP,PREPAY,BV_NUM,PAYFREQ,INTCOLCD,IO_FLAG,IO_TERM,REMAININGIO1,OTERM,OATERM,REMTERM1,AGE1,RETAINED,SVC_FEE,DOC_TYPE,ADJTYPE,INDEXGR,,BALLOON,RADJPER,PADJPER,,FRCDT,,FPCDT,BV_NUM,MTR_PMT1,LOCKOUT,PRODUCT,FPCAP,PCAP,MARGIN,MINRATE,MAXRATE,CONV,NEG_AM,NEGAMPCT,NEGAMPCTCUR,PAYMENTCAP,RECAST,GROUP,REPGR,Junior Lien Amount,SSECONDSP,Combined LTV
330233,IN,46408,44301.00,9.500,44279.21,9.500,372.51,F,E,Single Family,,A/ALT A,9/12/2006,9/12/2006,10/12/2006,9/12/2036,12/12/2006,1/12/2007,11/7/2006,330233,I,660,10/24/2006,45000.00,0.00,98.450,98.400,1,45000.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,Y,330233,0,0,0,0,0,360,360,358,2,0.000,0.500,LTD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,330233,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP A/ALT A FIXED WAM greater than or equal to 324 WAC less than or equal to 9.5,0.0000,N,98.45
266151,CA,91001,244000.00,7.500,235336.36,7.500,1706.08,F,P,2 to 4 Family,,A/ALT A,4/11/2003,4/11/2003,6/1/2003,5/1/2033,10/1/2006,11/1/2006,11/7/2006,266151,O,738,11/6/2006,312000.00,305000.00,80.000,77.160,0,0.00,0,1,0,0,010000000000,UCONV,N,0.000,,,,N,266151,0,0,0,0,0,360,360,318,42,0.000,0.375,LTD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,266151,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP A/ALT A FIXED WAM greater than or equal to 275 WAC less than or equal to 9.5,0.0000,N,80.00
116055,IL,60457,99100.00,6.000,88011.83,6.125,594.28,A,R,Single Family,,A/ALT A,11/11/1999,11/11/1999,1/1/2000,12/1/2029,10/1/2006,11/1/2006,11/7/2006,116055,O,706,10/26/2006,120000.00,0.00,82.580,73.340,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,116055,0,4,0,0,0,360,360,277,83,0.000,0.500,STA,ARM,1 YR CMT,,FULLY AMORTIZING,12,12,,12/1/2000,,1/1/2001,116055,2,12,12/12,1.000,1.000,2.875,2.875,12.000,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP A/ALT A ARM CMT SHORT RESET,800.0000,Y,83.25
259144,LA,70005,104000.00,10.250,40954.92,5.250,516.67,A,P,Single Family,,A/ALT A,3/1/1985,3/1/1985,4/1/1985,3/1/2015,9/1/2006,10/1/2006,10/1/2006,259144,O,796,11/8/2006,130000.00,0.00,80.000,31.500,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,259144,0,0,0,0,0,360,360,100,260,0.000,0.375,FD,ARM,1 YR CMT,,FULLY AMORTIZING,12,12,,3/1/1986,,4/1/1986,259144,5,12,12/12,2.000,2.000,0.000,5.250,15.250,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP A/ALT A ARM CMT SHORT RESET,0.0000,N,80.00
263499,LA,70811,26000.00,9.500,5523.08,7.500,196.54,A,P,Single Family,,A/ALT A,5/19/1989,5/19/1989,7/1/1989,6/1/2009,9/1/2006,10/1/2006,10/1/2006,263499,O,662,10/24/2006,26000.00,0.00,100.000,21.240,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,263499,0,0,0,0,0,240,240,31,209,0.000,0.480,FD,ARM,1 YR CMT,,FULLY AMORTIZING,12,12,,5/1/1990,,6/1/1990,263499,7,11,11/12,2.000,2.000,2.750,2.750,14.500,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP A/ALT A ARM CMT SHORT RESET,0.0000,N,100.00
334458,TX,76086,71029.00,10.000,67265.27,10.000,765.63,F,P,Single Family,,SUBPRIME,2/22/2005,2/25/2005,4/1/2005,3/1/2020,10/1/2006,11/1/2006,10/17/2006,334458,O,587,11/7/2006,0.00,70000.00,101.470,96.090,1,68000.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,334458,0,0,0,0,0,180,180,160,20,0.000,0.500,LTD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,334458,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP SUBPRIME FIXED WAM less than 180 WAC greater than 9.5,0.0000,N,101.47
316831,FL,34606,98800.00,11.000,98243.84,11.000,940.90,A,E,Single Family,,SUBPRIME,11/28/2005,12/2/2005,2/1/2006,1/1/2036,10/1/2006,11/1/2006,11/7/2006,316831,O,503,11/8/2006,152000.00,0.00,65.000,64.630,0,135000.00,0,3,1,0,012100000000,UCONV,N,0.000,,,,N,316831,0,0,0,0,0,360,360,350,10,0.000,0.500,LTD,ARM,6 MO LIBOR,,FULLY AMORTIZING,6,6,,1/1/2008,,2/1/2008,316831,15,24,24/6,3.000,1.000,7.000,11.000,17.000,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP SUBPRIME ARM LIBOR LONG RESET,0.0000,N,65.00
326722,GA,30668,159000.00,5.875,156156.79,5.875,940.55,F,P,Single Family,,A/ALT A,9/2/2005,9/2/2005,10/1/2005,9/1/2035,11/1/2006,12/1/2006,11/7/2006,326722,O,784,11/7/2006,0.00,230000.00,69.130,67.890,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,326722,0,0,0,0,0,360,360,346,14,0.000,0.500,LTD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,326722,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP A/ALT A FIXED WAM greater than or equal to 324 WAC less than or equal to 9.5,0.0000,N,69.13
330336,NJ,07746,125000.00,11.750,124846.56,11.750,1261.76,A,E,Single Family,,SUBPRIME,6/14/2006,6/19/2006,8/1/2006,7/1/2036,10/1/2006,11/1/2006,11/7/2006,330336,O,514,11/7/2006,273000.00,0.00,45.790,45.730,0,190000.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,330336,0,0,0,0,0,360,360,356,4,0.000,0.500,STA,ARM,6 MO LIBOR,,FULLY AMORTIZING,6,6,,7/1/2008,,8/1/2008,330336,21,24,24/6,2.000,2.000,6.500,6.500,17.750,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP SUBPRIME ARM LIBOR LONG RESET,0.0000,N,45.79
333620,VA,22066,593500.00,5.500,572658.97,5.500,3369.83,F,R,Single Family,,A/ALT A,4/8/2004,4/14/2004,6/1/2004,5/1/2034,10/1/2006,11/1/2006,10/20/2006,333620,O,742,9/29/2006,1300000.00,0.00,45.650,44.050,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,333620,0,0,0,0,0,360,360,330,30,0.000,0.500,STA,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,333620,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP A/ALT A FIXED WAM greater than or equal to 324 WAC less than or equal to 9.5,0.0000,N,45.65
